user_type,device,weight,records,conversions,rate,source
新用户,desktop,0.12339,911,9,0.009879253567508232,Direct
新用户,mobile,0.19141,1349,10,0.007412898443291327,Direct
新用户,未知,0.00045,2,0,0.0,Direct
老用户,desktop,0.27164,21586,745,0.03451311034930047,Direct
老用户,mobile,0.41223,32769,952,0.029051847782965608,Direct
老用户,未知,0.00088,71,2,0.028169014084507043,Direct
新用户,desktop,0.12339,7312,108,0.01477024070021882,Seo
新用户,mobile,0.19141,11456,162,0.014141061452513967,Seo
新用户,未知,0.00045,24,0,0.0,Seo
老用户,desktop,0.27164,3697,63,0.017040843927508792,Seo
老用户,mobile,0.41223,5836,106,0.0181631254283756,Seo
老用户,未知,0.00088,12,0,0.0,Seo
新用户,desktop,0.12339,4103,71,0.017304411406288082,Ads
新用户,mobile,0.19141,6313,103,0.016315539363218754,Ads
新用户,未知,0.00045,19,0,0.0,Ads
老用户,desktop,0.27164,1838,31,0.016866158868335146,Ads
老用户,mobile,0.41223,2574,40,0.01554001554001554,Ads
老用户,未知,0.00088,5,0,0.0,Ads
